player,position,team,claude_score,fppg_ppr,games,claude_overall_rank,claude_pos_rank
Josiah Deguara,TE,ARI,2.67,1.59,7,472,96
Durham Smythe,TE,CHI,2.66,0.93,7,473,97
Kylen Granson,TE,PHI,2.6,0.92,12,474,98
Andrew Ogletree,TE,IND,2.18,1.15,11,475,99
David Martin-Robinson,TE,TEN,2.11,1.18,11,476,100
Blake Whiteheart,TE,CLE,2.06,0.27,9,477,101
Connor Heyward,TE,PIT,2.04,1.96,14,478,102
Devin Culp,TE,TB,1.9,1.9,4,479,103
Ben Yurosek,TE,MIN,1.67,0.57,6,480,104
Nick Kallerup,TE,SEA,1.57,0.0,4,481,105
Jack Westover,TE,NE,1.57,0.25,4,482,106
Chris Manhertz,TE,NYG,1.55,0.43,4,483,107
Payne Durham,TE,TB,1.46,0.26,8,484,108
Carter Runyon,TE,LV,1.3,0.43,3,485,109
Kenny Pickett,QB,LV,1.29,1.29,6,486,49
Xavier Gipson,WR,PHI,1.27,0.52,5,487,204
Colson Yankoff,TE,WAS,1.05,0.38,10,488,110
Pharaoh Brown,TE,ARI,0.99,0.42,5,489,111
Steven Sims,WR,ARI,0.85,0.0,3,490,205
Jason Brownlee,WR,KC,0.77,0.0,3,491,206
Max Brosmer,QB,MIN,0.6,0.6,7,492,50
Charlie Jones,WR,CIN,0.53,0.43,14,493,207
Brayden Willis,TE,SF,0.3,0.0,6,494,112
Chase Edmonds,RB,WAS,0.07,0.0,3,495,126
Velus Jones Jr.,RB,NO,0.06,0.0,4,496,127
Trey Sermon,RB,PIT,0.05,0.0,3,497,128
Feleipe Franks,TE,ATL,0.03,0.04,10,498,113
